                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1254,                0.68828,                 1.2367,                0.94668,                0.91407,                0.94842,                0.61958,                 1.2294,                0.61703,                 1.3803,              0.0012687,              0.0012687,              0.0012687
                     36,                 1.1215,                0.69136,                 1.2318,                0.94172,                0.91865,                0.96582,                   0.63,                  1.202,                0.60267,                 1.3577,               0.001264,               0.001264,               0.001264
                     37,                 1.1415,                0.69132,                 1.2455,                0.95751,                0.93395,                0.97965,                0.64759,                 1.1982,                0.55866,                 1.3615,              0.0012592,              0.0012592,              0.0012592
                     38,                 1.1157,                0.70482,                 1.2173,                0.94668,                 0.9185,                0.96273,                0.63146,                 1.2353,                0.59254,                 1.4061,              0.0012545,              0.0012545,              0.0012545
                     39,                 1.1057,                0.65208,                 1.2245,                 0.9661,                0.92361,                0.96316,                0.64481,                 1.1677,                0.55694,                 1.3322,              0.0012498,              0.0012498,              0.0012498
                     40,                 1.0944,                0.65565,                  1.224,                0.96467,                0.93121,                0.97519,                0.64014,                  1.211,                0.55787,                 1.3634,              0.0012451,              0.0012451,              0.0012451
                     41,                 1.1154,                0.66026,                 1.2307,                0.96275,                0.92673,                0.96313,                0.63676,                 1.2279,                0.57036,                 1.3946,              0.0012404,              0.0012404,              0.0012404
                     42,                 1.1037,                0.64727,                 1.2343,                0.94598,                0.92299,                0.96226,                0.63825,                  1.182,                0.59699,                  1.351,              0.0012357,              0.0012357,              0.0012357
                     43,                 1.0763,                0.64224,                 1.2054,                0.97118,                0.91755,                0.97472,                0.65414,                 1.1492,                 0.5617,                 1.3091,              0.0012309,              0.0012309,              0.0012309
                     44,                  1.089,                0.64023,                 1.2242,                0.95638,                0.92046,                0.96014,                0.64448,                 1.1518,                0.55771,                 1.3271,              0.0012262,              0.0012262,              0.0012262
                     45,                  1.089,                0.63818,                  1.212,                 0.9569,                0.90828,                0.96921,                0.65053,                 1.1804,                0.55853,                  1.357,              0.0012215,              0.0012215,              0.0012215
                     46,                 1.0863,                0.62102,                 1.2127,                0.96452,                0.90643,                0.96544,                0.64892,                 1.1833,                0.56902,                   1.36,              0.0012168,              0.0012168,              0.0012168
                     47,                 1.0916,                0.64863,                 1.2059,                0.96147,                0.92586,                0.96814,                0.64636,                 1.2236,                0.57614,                 1.3776,              0.0012121,              0.0012121,              0.0012121
                     48,                 1.0577,                0.61881,                 1.1937,                0.97358,                 0.9169,                0.97237,                0.65632,                 1.1601,                0.53735,                 1.3332,              0.0012074,              0.0012074,              0.0012074
                     49,                 1.0672,                0.64025,                 1.1983,                0.95632,                0.91761,                0.97223,                 0.6404,                 1.1927,                0.58094,                 1.3539,              0.0012026,              0.0012026,              0.0012026
                     50,                 1.0997,                0.63454,                 1.2127,                0.95412,                0.92133,                0.96779,                0.63117,                 1.1795,                0.54446,                 1.3661,              0.0011979,              0.0011979,              0.0011979
                     51,                 1.0843,                0.61803,                 1.2112,                0.95994,                0.92414,                0.96773,                0.64743,                 1.1721,                0.54418,                 1.3375,              0.0011932,              0.0011932,              0.0011932
                     52,                 1.0595,                  0.605,                 1.2003,                0.96081,                0.88771,                0.95673,                0.62569,                 1.2209,                0.57506,                 1.3826,              0.0011885,              0.0011885,              0.0011885
                     53,                 1.0609,                0.60121,                 1.1902,                0.95356,                0.92926,                0.97539,                0.65975,                  1.161,                0.51511,                 1.3306,              0.0011838,              0.0011838,              0.0011838
                     54,                 1.0436,                0.59992,                 1.1908,                0.93847,                0.93536,                0.97394,                0.65227,                 1.1601,                0.53117,                 1.3424,              0.0011791,              0.0011791,              0.0011791
                     55,                 1.0548,                0.60677,                 1.2027,                0.94408,                 0.9268,                0.97551,                0.65449,                 1.1785,                0.53992,                 1.3599,              0.0011744,              0.0011744,              0.0011744
                     56,                 1.0461,                0.60222,                 1.1889,                0.95198,                0.93684,                0.97579,                0.64932,                  1.181,                0.51954,                 1.3619,              0.0011696,              0.0011696,              0.0011696
                     57,                 1.0512,                0.59709,                 1.1909,                 0.9312,                0.95271,                0.97618,                0.65574,                 1.1647,                0.53059,                 1.3389,              0.0011649,              0.0011649,              0.0011649
                     58,                 1.0226,                0.59852,                 1.1801,                0.95913,                0.94279,                0.96937,                0.64294,                 1.1556,                0.51621,                 1.3233,              0.0011602,              0.0011602,              0.0011602
                     59,                 1.0485,                0.58421,                 1.1906,                0.94502,                0.93535,                0.97216,                0.66389,                 1.1684,                0.51821,                 1.3443,              0.0011555,              0.0011555,              0.0011555
                     60,                 1.0176,                0.58215,                 1.1702,                0.95407,                 0.9311,                0.97499,                0.65981,                 1.1795,                0.53652,                 1.3453,              0.0011508,              0.0011508,              0.0011508
                     61,                 1.0281,                0.59028,                 1.1848,                0.97039,                0.93067,                0.97182,                0.64638,                 1.1582,                0.53127,                 1.3392,              0.0011461,              0.0011461,              0.0011461
